object_name,clip_ds_score,editing_prompt
table_104_bioluminescent,0.1254,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_2_claymation,0.0733,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_104_claymation,0.0648,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_3_wooden,0.0227,"a cozy couch, made of warm, natural oak wood with a smooth finish"
chair_103_wooden,0.0305,"a cozy chair, made of warm, natural oak wood with a smooth finish"
chair_103_claymation,0.0501,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
bed_1_wooden,-0.0193,"a cozy bed, made of warm, natural oak wood with a smooth finish"
couch_6_wooden,0.0911,"a cozy couch, made of warm, natural oak wood with a smooth finish"
table_104_ghibli,0.1143,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_4_ghibli,0.0994,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
cabinet_104_wooden,-0.0060,"a cozy cabinet, made of warm, natural oak wood with a smooth finish"
table_105_cyberpunk,0.1525,"a cyberpunk table, made of dark chrome and glowing purple circuits"
chair_1_claymation,0.1598,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_5_yellow,0.2167,a yellow table
table_107_yellow,0.1805,a yellow table
table_8_cyberpunk,0.1376,"a cyberpunk table, made of dark chrome and glowing purple circuits"
chair_106_ghibli,0.1019,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_7_cyberpunk,0.1904,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
chair_103_yellow,0.1532,a yellow chair
table_3_steampunk,-0.0432,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
bed_1_bioluminescent,0.0669,"a magical bed made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_9_wooden,0.0908,"a cozy couch, made of warm, natural oak wood with a smooth finish"
bed_101_claymation,0.0293,"a charming claymation bed, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_8_yellow,0.0699,a yellow table
couch_101_glass,0.0773,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
chair_7_ghibli,0.0196,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_104_claymation,0.0745,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_5_wooden,0.1901,"a cozy chair, made of warm, natural oak wood with a smooth finish"
table_3_yellow,0.0321,a yellow table
couch_3_steampunk,0.0476,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_1_bioluminescent,0.2331,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_107_ghibli,0.1003,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_105_bioluminescent,0.1630,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_101_cyberpunk,0.2038,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
cabinet_101_yellow,0.1228,a yellow cabinet
chair_105_glass,0.0335,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
table_104_wooden,0.0993,"a cozy table, made of warm, natural oak wood with a smooth finish"
cabinet_101_claymation,0.1165,"a charming claymation cabinet, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_106_yellow,0.1121,a yellow table
table_2_wooden,-0.0193,"a cozy table, made of warm, natural oak wood with a smooth finish"
couch_5_cyberpunk,0.1083,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
table_8_glass,0.0678,"a sleek, modern table, made of translucent frosted glass with minimalist design"
chair_5_cyberpunk,0.2704,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
table_105_ghibli,0.0800,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_101_wooden,0.0182,"a cozy chair, made of warm, natural oak wood with a smooth finish"
bed_102_medieval,-0.0070,"an ornate medieval-style bed, crafted from dark heavy wood and wrought iron details"
cabinet_4_cyberpunk,0.1200,"a cyberpunk cabinet, made of dark chrome and glowing purple circuits"
cabinet_1_medieval,0.1021,"an ornate medieval-style cabinet, crafted from dark heavy wood and wrought iron details"
table_101_bioluminescent,0.0994,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_102_glass,-0.0008,"a sleek, modern cabinet, made of translucent frosted glass with minimalist design"
bed_102_bioluminescent,0.1444,"a magical bed made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
bed_2_art_deco,0.0633,"a luxurious art deco style bed, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
cabinet_3_ghibli,0.1261,"a cabinet in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
bed_2_glass,0.0607,"a sleek, modern bed, made of translucent frosted glass with minimalist design"
cabinet_1_glass,0.1116,"a sleek, modern cabinet, made of translucent frosted glass with minimalist design"
table_103_glass,0.0556,"a sleek, modern table, made of translucent frosted glass with minimalist design"
table_8_bioluminescent,0.0056,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_105_ghibli,0.0686,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_3_medieval,0.0122,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
table_101_ghibli,0.1014,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_7_art_deco,0.1597,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_6_medieval,0.1497,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
bed_102_art_deco,0.1985,"a luxurious art deco style bed, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_105_steampunk,0.1543,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
bed_101_yellow,-0.0036,a yellow bed
chair_104_yellow,0.2826,a yellow chair
chair_6_bioluminescent,-0.0263,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_103_steampunk,0.0593,"a masterpiece steampunk cabinet, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_106_claymation,0.1032,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_1_medieval,0.2867,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
cabinet_103_claymation,0.1272,"a charming claymation cabinet, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_2_claymation,0.0015,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_7_cyberpunk,0.2345,"a cyberpunk table, made of dark chrome and glowing purple circuits"
chair_106_cyberpunk,0.3074,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
couch_1_bioluminescent,0.2454,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_7_wooden,-0.0355,"a cozy couch, made of warm, natural oak wood with a smooth finish"
chair_6_steampunk,0.0259,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_105_medieval,0.0249,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
chair_2_bioluminescent,0.0921,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_102_art_deco,-0.0077,"a luxurious art deco style cabinet, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_5_medieval,0.1684,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
couch_105_wooden,-0.0003,"a cozy couch, made of warm, natural oak wood with a smooth finish"
couch_102_ghibli,0.1204,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_1_steampunk,0.1624,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
bed_102_steampunk,0.0061,"a masterpiece steampunk bed, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
bed_103_steampunk,0.1903,"a masterpiece steampunk bed, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_2_wooden,0.0306,"a cozy couch, made of warm, natural oak wood with a smooth finish"
shelf_101_art_deco,0.0227,"a luxurious art deco style shelf, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
cabinet_104_claymation,0.0871,"a charming claymation cabinet, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_104_yellow,0.1275,a yellow table
cabinet_2_claymation,0.0879,"a charming claymation cabinet, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_3_ghibli,0.1547,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
bed_2_medieval,0.1035,"an ornate medieval-style bed, crafted from dark heavy wood and wrought iron details"
table_4_cyberpunk,0.1470,"a cyberpunk table, made of dark chrome and glowing purple circuits"
couch_103_ghibli,0.1472,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_101_medieval,0.0883,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
couch_104_art_deco,0.0834,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_101_medieval,0.0590,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
cabinet_1_bioluminescent,0.1027,"a magical cabinet made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_101_ghibli,0.1135,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_1_wooden,0.0119,"a cozy table, made of warm, natural oak wood with a smooth finish"
couch_3_glass,0.1464,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
couch_101_ghibli,0.1078,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_7_medieval,-0.0277,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
cabinet_103_glass,0.1511,"a sleek, modern cabinet, made of translucent frosted glass with minimalist design"
table_5_art_deco,0.1032,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_4_yellow,0.2518,a yellow chair
cabinet_4_claymation,0.0368,"a charming claymation cabinet, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_103_yellow,0.1335,a yellow cabinet
cabinet_101_medieval,0.0683,"an ornate medieval-style cabinet, crafted from dark heavy wood and wrought iron details"
couch_1_yellow,0.2366,a yellow couch
shelf_101_bioluminescent,0.0555,"a magical shelf made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_9_bioluminescent,0.1355,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_104_wooden,0.0933,"a cozy chair, made of warm, natural oak wood with a smooth finish"
couch_104_ghibli,0.0319,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_3_yellow,0.2895,a yellow chair
couch_8_glass,0.0250,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
table_105_wooden,0.0848,"a cozy table, made of warm, natural oak wood with a smooth finish"
cabinet_2_ghibli,0.0671,"a cabinet in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_103_art_deco,0.1884,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_105_glass,0.1145,"a sleek, modern table, made of translucent frosted glass with minimalist design"
couch_7_cyberpunk,0.1677,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
bed_2_wooden,0.0819,"a cozy bed, made of warm, natural oak wood with a smooth finish"
cabinet_102_medieval,0.0011,"an ornate medieval-style cabinet, crafted from dark heavy wood and wrought iron details"
table_101_glass,0.0759,"a sleek, modern table, made of translucent frosted glass with minimalist design"
couch_6_claymation,0.0833,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_101_art_deco,0.1804,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_107_glass,0.2264,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
couch_8_steampunk,0.0968,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_6_glass,0.0344,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
chair_1_steampunk,0.2593,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_8_ghibli,0.0165,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_107_steampunk,0.1978,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
bed_1_cyberpunk,0.2012,"a cyberpunk bed, made of dark chrome and glowing purple circuits"
bed_101_steampunk,-0.0344,"a masterpiece steampunk bed, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_105_yellow,0.2399,a yellow table
chair_3_wooden,0.1993,"a cozy chair, made of warm, natural oak wood with a smooth finish"
table_2_steampunk,0.2748,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_3_cyberpunk,0.3359,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
cabinet_2_yellow,0.0995,a yellow cabinet
chair_105_steampunk,0.0227,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_6_ghibli,0.0383,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_6_art_deco,0.0756,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_6_steampunk,0.1464,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_104_medieval,-0.0343,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
chair_105_wooden,0.1276,"a cozy chair, made of warm, natural oak wood with a smooth finish"
table_105_bioluminescent,0.2182,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
bed_101_medieval,-0.0596,"an ornate medieval-style bed, crafted from dark heavy wood and wrought iron details"
chair_5_glass,0.0537,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
couch_104_medieval,0.0007,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
couch_3_bioluminescent,0.1913,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_102_yellow,0.1659,a yellow couch
cabinet_4_wooden,-0.0254,"a cozy cabinet, made of warm, natural oak wood with a smooth finish"
couch_8_bioluminescent,0.1100,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_103_steampunk,0.1318,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_4_yellow,0.3584,a yellow couch
couch_8_art_deco,0.0685,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_2_yellow,0.0869,a yellow chair
chair_102_ghibli,0.1776,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_101_medieval,-0.0000,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
couch_5_wooden,0.0854,"a cozy couch, made of warm, natural oak wood with a smooth finish"
couch_101_bioluminescent,0.1660,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_5_steampunk,0.1626,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_104_glass,0.1502,"a sleek, modern table, made of translucent frosted glass with minimalist design"
chair_3_glass,0.0892,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
table_1_steampunk,0.0640,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_2_medieval,0.0812,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
table_5_steampunk,0.2098,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
cabinet_103_ghibli,0.1088,"a cabinet in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_105_medieval,0.1224,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
chair_106_steampunk,0.1123,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
cabinet_103_wooden,0.0618,"a cozy cabinet, made of warm, natural oak wood with a smooth finish"
table_7_ghibli,0.0829,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
cabinet_2_cyberpunk,0.2593,"a cyberpunk cabinet, made of dark chrome and glowing purple circuits"
chair_4_claymation,0.0595,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
bed_1_glass,-0.0203,"a sleek, modern bed, made of translucent frosted glass with minimalist design"
couch_2_cyberpunk,0.2147,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
table_105_claymation,0.0706,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_3_cyberpunk,0.1956,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
couch_1_wooden,0.1206,"a cozy couch, made of warm, natural oak wood with a smooth finish"
table_6_cyberpunk,0.2279,"a cyberpunk table, made of dark chrome and glowing purple circuits"
table_106_medieval,0.0989,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
table_7_medieval,0.0593,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
chair_107_art_deco,0.1930,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
bed_2_yellow,0.2193,a yellow bed
couch_8_ghibli,0.0982,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
cabinet_3_wooden,0.1444,"a cozy cabinet, made of warm, natural oak wood with a smooth finish"
chair_7_claymation,-0.0075,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_1_ghibli,0.0478,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_7_steampunk,0.0218,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_103_medieval,0.1454,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
table_102_art_deco,0.0413,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_7_bioluminescent,0.0884,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_106_bioluminescent,0.1927,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_4_medieval,0.0675,"an ornate medieval-style cabinet, crafted from dark heavy wood and wrought iron details"
chair_7_wooden,0.0494,"a cozy chair, made of warm, natural oak wood with a smooth finish"
table_103_cyberpunk,0.1734,"a cyberpunk table, made of dark chrome and glowing purple circuits"
cabinet_3_medieval,0.0033,"an ornate medieval-style cabinet, crafted from dark heavy wood and wrought iron details"
table_4_glass,0.1978,"a sleek, modern table, made of translucent frosted glass with minimalist design"
cabinet_104_art_deco,0.1996,"a luxurious art deco style cabinet, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_9_glass,0.1431,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
chair_6_yellow,0.2196,a yellow chair
table_103_bioluminescent,0.0903,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
table_106_wooden,0.0259,"a cozy table, made of warm, natural oak wood with a smooth finish"
cabinet_101_cyberpunk,0.1535,"a cyberpunk cabinet, made of dark chrome and glowing purple circuits"
cabinet_102_steampunk,0.0592,"a masterpiece steampunk cabinet, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_5_wooden,0.1480,"a cozy table, made of warm, natural oak wood with a smooth finish"
table_106_claymation,0.0477,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_106_ghibli,0.0837,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_101_cyberpunk,0.2066,"a cyberpunk table, made of dark chrome and glowing purple circuits"
cabinet_2_medieval,0.0747,"an ornate medieval-style cabinet, crafted from dark heavy wood and wrought iron details"
bed_1_steampunk,0.0849,"a masterpiece steampunk bed, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_102_bioluminescent,0.1277,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_4_steampunk,0.2162,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_9_cyberpunk,0.1667,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
table_1_claymation,0.0178,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_101_wooden,0.0259,"a cozy cabinet, made of warm, natural oak wood with a smooth finish"
bed_102_glass,0.1029,"a sleek, modern bed, made of translucent frosted glass with minimalist design"
chair_3_claymation,0.0669,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_103_art_deco,0.1833,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_7_steampunk,-0.0518,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_103_claymation,-0.0094,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_8_claymation,0.0420,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_4_bioluminescent,0.0130,"a magical cabinet made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_101_bioluminescent,0.0654,"a magical cabinet made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_2_art_deco,-0.0142,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
cabinet_103_medieval,0.0970,"an ornate medieval-style cabinet, crafted from dark heavy wood and wrought iron details"
couch_104_bioluminescent,0.0655,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_102_yellow,0.2552,a yellow chair
cabinet_3_steampunk,0.0423,"a masterpiece steampunk cabinet, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_102_wooden,0.1098,"a cozy chair, made of warm, natural oak wood with a smooth finish"
chair_1_glass,0.2169,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
couch_103_steampunk,0.1824,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_9_steampunk,0.2233,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_8_art_deco,0.0714,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
cabinet_3_cyberpunk,0.2243,"a cyberpunk cabinet, made of dark chrome and glowing purple circuits"
couch_7_bioluminescent,0.0953,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
bed_101_wooden,-0.0702,"a cozy bed, made of warm, natural oak wood with a smooth finish"
cabinet_103_art_deco,0.0909,"a luxurious art deco style cabinet, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_3_steampunk,0.1571,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_106_glass,0.1963,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
bed_102_ghibli,-0.0242,"a bed in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_104_bioluminescent,0.1736,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_7_glass,0.0929,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
couch_104_steampunk,0.1223,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_2_steampunk,-0.0408,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_104_yellow,0.2982,a yellow couch
table_7_claymation,-0.0090,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
shelf_101_cyberpunk,0.1422,"a cyberpunk shelf, made of dark chrome and glowing purple circuits"
table_1_glass,0.0560,"a sleek, modern table, made of translucent frosted glass with minimalist design"
cabinet_104_yellow,0.0652,a yellow cabinet
couch_102_glass,0.0950,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
couch_4_cyberpunk,0.1728,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
couch_9_yellow,0.2237,a yellow couch
couch_105_claymation,0.0312,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_102_wooden,-0.0440,"a cozy table, made of warm, natural oak wood with a smooth finish"
